Destination Prefix,Next Hop
217.52.0.0/16,80.249.209.167
217.55.87.0/24,80.249.208.149
217.55.112.0/22,80.249.209.167
217.55.128.0/20,80.249.208.111
217.55.144.0/21,80.249.208.111
217.55.240.0/21,80.249.208.111
2001:42b8::/32,fe80::224:38ff:feaa:6e41
2c0f:fc88:e::/48,fe80::fac0:1ff:fe24:ccd
2c0f:fc88:f::/48,fe80::fac0:1ff:fe24:ccd
2c0f:fc88:10::/48,fe80::fac0:1ff:fe24:ccd
2c0f:fc88:11::/48,fe80::fac0:1ff:fe24:ccd
2c0f:fc88:12::/48,fe80::fac0:1ff:fe24:ccd
2c0f:fc88:13::/48,fe80::224:38ff:feaa:6e41
2c0f:fc88:14::/48,fe80::224:38ff:feaa:6e41
2c0f:fc88:15::/48,fe80::224:38ff:feaa:6e41
2c0f:fc88:16::/48,fe80::224:38ff:feaa:6e41
197.120.0.0/14,80.249.208.34
197.120.64.0/18,80.249.208.85
197.120.128.0/18,80.249.208.85
197.120.192.0/18,80.249.208.85
197.121.64.0/18,80.249.208.85
197.122.64.0/18,80.249.208.34
197.122.128.0/18,80.249.208.34
197.122.192.0/18,80.249.208.111
197.123.0.0/18,80.249.208.111
197.123.64.0/18,80.249.208.111
197.123.128.0/18,80.249.208.111
197.123.192.0/18,80.249.208.111
197.124.0.0/14,80.249.208.34
197.124.64.0/18,80.249.209.167
197.124.128.0/18,80.249.208.111
197.124.192.0/18,80.249.208.111
197.125.0.0/18,80.249.209.167
197.125.64.0/18,80.249.208.111
197.125.128.0/18,80.249.208.111
197.125.192.0/18,80.249.208.111
197.126.0.0/18,80.249.208.111
197.126.64.0/18,80.249.209.167
197.126.128.0/18,80.249.208.111
197.126.192.0/18,80.249.208.111
197.127.0.0/18,80.249.208.111
197.127.64.0/18,80.249.208.111
197.127.128.0/18,80.249.208.111
197.127.192.0/18,80.249.208.111
197.192.0.0/13,80.249.210.99
197.192.0.0/17,80.249.211.217
197.192.0.0/18,80.249.208.149
197.192.128.0/18,80.249.211.217
197.193.0.0/18,80.249.208.149
197.193.128.0/17,80.249.209.167
197.194.0.0/17,80.249.208.111
197.194.32.0/19,80.249.211.217
197.194.64.0/18,80.249.209.167
197.195.0.0/17,80.249.211.217
197.195.128.0/18,80.249.211.217
197.197.192.0/18,80.249.208.149
197.198.64.0/18,80.249.211.217
197.198.192.0/18,80.249.208.149
197.199.224.0/20,80.249.208.149
197.199.241.0/24,80.249.209.167
197.199.248.0/24,80.249.208.111
105.80.0.0/18,80.249.208.85
105.80.64.0/18,80.249.208.149
105.82.0.0/18,80.249.208.149
105.82.64.0/18,80.249.208.149
105.82.128.0/18,80.249.208.149
105.82.192.0/18,80.249.208.149
105.83.0.0/18,80.249.208.34
105.83.64.0/18,80.249.208.34
105.83.128.0/18,80.249.208.34
105.83.192.0/18,80.249.208.34
105.84.0.0/18,80.249.208.149
105.84.64.0/18,80.249.208.149
105.84.128.0/18,80.249.208.111
105.84.192.0/18,80.249.208.149
105.85.0.0/18,80.249.208.149
105.85.64.0/18,80.249.208.149
105.85.128.0/18,80.249.208.149
105.85.192.0/18,80.249.208.149
105.86.0.0/18,80.249.208.85
105.87.64.0/18,80.249.208.149
105.87.128.0/18,80.249.208.149
105.87.192.0/18,80.249.208.149
105.88.0.0/16,80.249.208.149
105.89.0.0/17,80.249.208.149
105.89.128.0/17,80.249.208.149
105.90.0.0/18,80.249.208.149
105.90.128.0/18,80.249.208.149
105.90.192.0/18,80.249.208.149
105.91.0.0/18,80.249.208.111
105.91.64.0/18,80.249.208.111
105.91.128.0/18,80.249.208.111
105.91.192.0/18,80.249.208.111
105.92.128.0/17,80.249.208.149
105.93.0.0/17,80.249.208.149
105.93.128.0/17,80.249.208.149
105.94.192.0/18,80.249.211.217
105.95.0.0/18,80.249.208.149
105.95.64.0/18,80.249.208.149
105.95.128.0/18,80.249.208.149
105.95.192.0/18,80.249.208.85
105.200.0.0/18,80.249.208.149
105.200.64.0/18,80.249.208.149
105.200.128.0/18,80.249.208.149
105.200.192.0/19,80.249.208.149
105.200.224.0/19,80.249.208.149
105.201.0.0/17,80.249.208.111
105.201.128.0/19,80.249.208.149
105.201.160.0/19,80.249.208.149
105.201.176.0/20,80.249.208.34
105.201.192.0/19,80.249.208.149
105.201.224.0/19,80.249.208.149
105.202.0.0/17,80.249.208.149
105.202.128.0/19,80.249.208.149
105.202.160.0/19,80.249.208.149
105.202.192.0/19,80.249.208.149
105.202.224.0/19,80.249.208.149
105.203.0.0/19,80.249.208.149
105.203.32.0/19,80.249.208.85
105.203.64.0/18,80.249.208.149
105.203.128.0/18,80.249.208.149
105.203.224.0/20,80.249.208.149
105.203.247.0/24,80.249.208.85
105.203.250.0/24,80.249.208.85
105.203.251.0/24,80.249.208.149
105.203.252.0/24,80.249.208.85
105.203.253.0/24,80.249.208.85
105.203.254.0/24,80.249.208.149
105.203.255.0/24,80.249.208.34
105.204.0.0/19,80.249.208.149
105.204.32.0/19,80.249.208.149
105.204.128.0/18,80.249.208.149
105.205.0.0/18,80.249.208.149
105.205.128.0/20,80.249.208.149
105.206.64.0/18,80.249.208.149
105.206.128.0/18,80.249.208.149
105.206.192.0/18,80.249.208.85
105.207.128.0/18,80.249.208.34
105.207.192.0/18,80.249.208.149